SDR	7.1.1
09/06/2012 18:40:00	6.0	1.0																							225								-123.5															
09/06/2012 18:50:00	6.4	1.2																							225								-123.5															
09/06/2012 19:00:00	5.8	1.0																							225								-123.5															
09/06/2012 19:10:00	5.3	1.0																							225								-123.5															
09/06/2012 19:20:00	5.8	0.9																							248								-123.5															
09/06/2012 19:30:00	5.8	0.9																							225								-123.5															
09/06/2012 19:40:00	5.0	0.7																							248								-123.5															
09/06/2012 19:50:00	4.9	1.5																							225								-123.5															
09/06/2012 20:00:00	5.0	1.2																							225								-123.5															
09/06/2012 20:10:00	6.2	1.2																							225								-123.5															
09/06/2012 20:20:00	4.0	1.3																							225								-123.5															
09/06/2012 20:30:00	4.6	1.0																							225								-123.5															
09/06/2012 20:40:00	4.6	0.8																							225								-123.5															
09/06/2012 20:50:00	3.8	1.1																							225								-123.5															
09/06/2012 21:00:00	5.4	1.2																							248								-123.5															
09/06/2012 21:10:00	5.8	1.0																							225								-123.5															
09/06/2012 21:20:00	5.5	1.1																							225								-123.5															
09/06/2012 21:30:00	5.3	1.0																							225								-123.5															
09/06/2012 21:40:00	4.5	0.9																							225								-123.5															
09/06/2012 21:50:00	4.6	0.9																							225								-123.5															
09/06/2012 22:00:00	4.5	1.1																							225								-123.5															
09/06/2012 22:10:00	4.7	1.0																							225								-123.5															
09/06/2012 22:20:00	5.3	0.9																							225								-123.5															
09/06/2012 22:30:00	4.6	1.0																							225								-123.5															
09/06/2012 22:40:00	4.3	0.8																							225								-123.5															
09/06/2012 22:50:00	3.2	0.6																							270								-123.5															
09/06/2012 23:00:00	2.4	0.7																							292								-123.5															
09/06/2012 23:10:00	2.6	0.8																							292								-123.5															
09/06/2012 23:20:00	2.8	0.7																							292								-123.5															
09/06/2012 23:30:00	2.4	0.7																							315								-123.5															
09/06/2012 23:40:00	0.8	0.2																							315								-123.5															
09/06/2012 23:50:00	0.8	0.0																							315								-123.5															
09/07/2012 00:00:00	1.7	1.2																							292								-123.5															
09/07/2012 00:10:00	3.4	0.4																							270								-123.5															
09/07/2012 00:20:00	3.2	0.7																							270								-123.5															
09/07/2012 00:30:00	2.0	0.9																							270								-123.5															
09/07/2012 00:40:00	5.0	0.7																							248								-123.5															
09/07/2012 00:50:00	5.1	1.0																							248								-123.5															
09/07/2012 01:00:00	5.2	1.1																							248								-123.5															
09/07/2012 01:10:00	4.8	0.9																							248								-123.5															
09/07/2012 01:20:00	3.0	1.1																							270								-123.5															
09/07/2012 01:30:00	5.1	0.7																							270								-123.5															
09/07/2012 01:40:00	4.1	0.4																							270								-123.5															
09/07/2012 01:50:00	3.5	0.5																							248								-123.5															
09/07/2012 02:00:00	1.8	1.4																							270								-123.5															
09/07/2012 02:10:00	0.9	0.4																							292								-123.5															
09/07/2012 02:20:00	2.3	0.6																							270								-123.5															
09/07/2012 02:30:00	2.8	0.9																							225								-123.5															
09/07/2012 02:40:00	5.0	0.9																							248								-123.5															
09/07/2012 02:50:00	4.9	1.0																							225								-123.5															
09/07/2012 03:00:00	3.6	1.1																							225								-123.5															
09/07/2012 03:10:00	4.1	1.1																							225								-123.5															
09/07/2012 03:20:00	5.0	1.0																							248								-123.5															
09/07/2012 03:30:00	5.5	1.2																							248								-123.5															
09/07/2012 03:40:00	3.7	1.2																							225								-123.5															
09/07/2012 03:50:00	5.3	1.0																							225								-123.5															
09/07/2012 04:00:00	5.7	1.5																							225								-123.5															
09/07/2012 04:10:00	6.3	1.3																							248								-123.5															
09/07/2012 04:20:00	7.0	0.9																							248								-123.5															
09/07/2012 04:30:00	5.3	1.4																							225								-123.5															
09/07/2012 04:40:00	4.5	1.2																							225								-123.5															
09/07/2012 04:50:00	5.3	1.2																							225								-123.5															
09/07/2012 05:00:00	5.3	1.2																							248								-123.5															
09/07/2012 05:10:00	4.6	1.2																							248								-123.5															
09/07/2012 05:20:00	3.3	1.4																							248								-123.5															
09/07/2012 05:30:00	3.9	1.2																							270								-123.5															
09/07/2012 05:40:00	4.3	1.0																							248								-123.5															
